id_usuario_x_identificador;fecha_alta;id_identificador;id_usuario;id_usuario_alta
2510899;2025-06-04 16:26:50,000;1224962;39930;39932
2510900;2025-06-04 16:26:50,000;1224963;39930;39932
2510901;2025-06-04 16:26:50,000;1224964;39930;39932
2510902;2025-06-04 16:26:50,000;1224965;39930;39932
2510903;2025-06-04 16:26:50,000;1224966;39930;39932
2510904;2025-06-04 16:26:50,000;1224967;39930;39932
2510905;2025-06-04 16:26:50,000;1224968;39930;39932
2510906;2025-06-04 16:26:50,000;1224969;39930;39932
2510907;2025-06-04 16:26:50,000;1224970;39930;39932
2510908;2025-06-04 16:26:50,000;1224971;39930;39932
2510909;2025-06-04 16:26:50,000;1224972;39930;39932
2510910;2025-06-04 16:26:50,000;1224973;39930;39932
2510911;2025-06-04 16:26:50,000;1224974;39930;39932
2510912;2025-06-04 16:26:50,000;1224975;39930;39932
2510913;2025-06-04 16:26:50,000;1224976;39930;39932
2510914;2025-06-04 16:26:50,000;1224977;39930;39932
2510915;2025-06-04 16:26:50,000;1224978;39930;39932
2510916;2025-06-04 16:26:50,000;1224979;39930;39932
2510917;2025-06-04 16:26:50,000;1224980;39930;39932
2510918;2025-06-04 16:26:50,000;1224981;39930;39932
2510919;2025-06-04 16:26:50,000;1224982;39930;39932
2510920;2025-06-04 16:26:50,000;1224983;39930;39932
2510921;2025-06-04 16:26:50,000;1224984;39930;39932
2510922;2025-06-04 16:26:50,000;1224985;39930;39932
2510923;2025-06-04 16:26:50,000;1224986;39930;39932
2510924;2025-06-04 16:26:50,000;1224987;39930;39932
2510925;2025-06-04 16:26:50,000;1224988;39930;39932
2510926;2025-06-04 16:26:50,000;1224989;39930;39932
2510927;2025-06-04 16:26:50,000;1224990;39930;39932
2510928;2025-06-04 16:26:50,000;1224991;39930;39932
2510929;2025-06-04 16:26:50,000;1224992;39930;39932
2510930;2025-06-04 16:26:50,000;1224993;39930;39932
2510931;2025-06-04 16:26:50,000;1224994;39930;39932
2510932;2025-06-04 16:26:50,000;1224995;39930;39932
2510933;2025-06-04 16:26:50,000;1224996;39930;39932
2510934;2025-06-04 16:26:50,000;1224997;39930;39932
2510935;2025-06-04 16:26:50,000;1224998;39930;39932
2510936;2025-06-04 16:26:50,000;1224999;39930;39932
2510937;2025-06-04 16:26:50,000;1225000;39930;39932
2510938;2025-06-04 16:26:50,000;1225001;39930;39932
2510939;2025-06-04 16:26:50,000;1225002;39930;39932
2510940;2025-06-04 16:26:50,000;1225003;39930;39932
2510941;2025-06-04 16:26:50,000;1225004;39930;39932
2510942;2025-06-04 16:26:50,000;1225005;39930;39932
2510943;2025-06-04 16:26:50,000;1225006;39930;39932
2510944;2025-06-04 16:26:50,000;1225007;39930;39932
2510945;2025-06-04 16:26:50,000;1225008;39930;39932
2510946;2025-06-04 16:26:50,000;1225009;39930;39932
2510947;2025-06-04 16:26:50,000;1225010;39930;39932
2510948;2025-06-04 16:26:50,000;1225011;39930;39932
2510949;2025-06-04 16:26:50,000;1225012;39930;39932
2510950;2025-06-04 16:26:50,000;1225013;39930;39932
2510951;2025-06-04 16:26:50,000;1225014;39930;39932
2510952;2025-06-04 16:26:50,000;1225015;39930;39932
2510953;2025-06-04 16:26:50,000;1225016;39930;39932
2510954;2025-06-04 16:26:50,000;1225017;39930;39932
2510955;2025-06-04 16:26:50,000;1225018;39930;39932
2510956;2025-06-04 16:26:50,000;1225019;39930;39932
2510957;2025-06-04 16:26:50,000;1225020;39930;39932
2510958;2025-06-04 16:26:50,000;1225021;39930;39932
2510959;2025-06-04 16:26:50,000;1225022;39930;39932
2510960;2025-06-04 16:26:50,000;1225023;39930;39932
2510961;2025-06-04 16:26:50,000;1225024;39930;39932
2510962;2025-06-04 16:26:50,000;1225025;39930;39932
2510963;2025-06-04 16:26:50,000;1225026;39930;39932
2510964;2025-06-04 16:26:50,000;1225027;39930;39932
2510965;2025-06-04 16:26:50,000;1225028;39930;39932
2510966;2025-06-04 16:26:50,000;1225029;39930;39932
2510967;2025-06-04 16:26:50,000;1225030;39930;39932
2510968;2025-06-04 16:26:50,000;1225031;39930;39932
2510969;2025-06-04 16:26:50,000;1225032;39930;39932
2510970;2025-06-04 16:26:50,000;1225033;39930;39932
2510971;2025-06-04 16:26:50,000;1225034;39930;39932
2510972;2025-06-04 16:26:50,000;1225035;39930;39932
2510973;2025-06-04 16:26:50,000;1225036;39930;39932
2510974;2025-06-04 16:26:50,000;1225037;39930;39932
2510975;2025-06-04 16:26:50,000;1225038;39930;39932
2510976;2025-06-04 16:26:50,000;1225039;39930;39932
2510977;2025-06-04 16:26:50,000;1225040;39930;39932
2510978;2025-06-04 16:26:50,000;1225041;39930;39932
2510979;2025-06-04 16:26:50,000;1225042;39930;39932
2510980;2025-06-04 16:26:50,000;1225043;39930;39932
2510981;2025-06-04 16:26:50,000;1225044;39930;39932
2510982;2025-06-04 16:26:50,000;1225045;39930;39932
2510983;2025-06-04 16:26:50,000;1225046;39930;39932
2510984;2025-06-04 16:26:50,000;1225047;39930;39932
2510985;2025-06-04 16:26:50,000;1225048;39930;39932
2510986;2025-06-04 16:26:50,000;1225049;39930;39932
2510987;2025-06-04 16:26:50,000;1225050;39930;39932
2510988;2025-06-04 16:26:50,000;1225051;39930;39932
2510989;2025-06-04 16:26:50,000;1225052;39930;39932
2510990;2025-06-04 16:26:50,000;1225053;39930;39932
2510991;2025-06-04 16:26:50,000;1225054;39930;39932
2510992;2025-06-04 16:26:50,000;1225055;39930;39932
2510993;2025-06-04 16:26:50,000;1225056;39930;39932
2510994;2025-06-04 16:26:50,000;1225057;39930;39932
2510995;2025-06-04 16:26:50,000;1225058;39930;39932
2510996;2025-06-04 16:26:50,000;1225059;39930;39932
2510997;2025-06-04 16:26:50,000;1225060;39930;39932
2510998;2025-06-04 16:26:50,000;1225061;39930;39932
2510999;2025-06-04 16:26:50,000;1225062;39930;39932
2511000;2025-06-04 16:26:50,000;1225063;39930;39932
2511001;2025-06-04 16:26:50,000;1225064;39930;39932
2511002;2025-06-04 16:26:50,000;1225065;39930;39932
2511003;2025-06-04 16:26:50,000;1225066;39930;39932
2511004;2025-06-04 16:26:50,000;1225067;39930;39932
2511005;2025-06-04 16:26:50,000;1225068;39930;39932
2511006;2025-06-04 16:26:50,000;1225069;39930;39932
2511007;2025-06-04 16:26:50,000;1225070;39930;39932
2511008;2025-06-04 16:26:50,000;1225071;39930;39932
2511009;2025-06-04 16:26:50,000;1225072;39930;39932
2511010;2025-06-04 16:26:50,000;1225073;39930;39932
2511011;2025-06-04 16:26:50,000;1225074;39930;39932
2511012;2025-06-04 16:26:50,000;1225075;39930;39932
2511013;2025-06-04 16:26:50,000;1225076;39930;39932
2511014;2025-06-04 16:26:50,000;1225077;39930;39932
2511015;2025-06-04 16:26:50,000;1225078;39930;39932
2511016;2025-06-04 16:26:50,000;1225079;39930;39932
2511017;2025-06-04 16:26:50,000;1225080;39930;39932
2511018;2025-06-04 16:26:50,000;1225081;39930;39932
2511019;2025-06-04 16:26:50,000;1225082;39930;39932
2511020;2025-06-04 16:26:50,000;1225083;39930;39932
2511021;2025-06-04 16:26:50,000;1225084;39930;39932
2511022;2025-06-04 16:26:50,000;1225085;39930;39932
2511023;2025-06-04 16:26:50,000;1225086;39930;39932
2511024;2025-06-04 16:26:50,000;1225087;39930;39932
2511025;2025-06-04 16:26:50,000;1225088;39930;39932
2511026;2025-06-04 16:26:50,000;1225089;39930;39932
2511027;2025-06-04 16:26:50,000;1225090;39930;39932
2511028;2025-06-04 16:26:50,000;1225091;39930;39932
2511029;2025-06-04 16:26:50,000;1225092;39930;39932
2511030;2025-06-04 16:26:50,000;1225093;39930;39932
2511031;2025-06-04 16:26:50,000;1225094;39930;39932
2511032;2025-06-04 16:26:50,000;1225095;39930;39932
2511033;2025-06-04 16:26:50,000;1225096;39930;39932
2511034;2025-06-04 16:26:50,000;1225097;39930;39932
2511035;2025-06-04 16:26:50,000;1225098;39930;39932
2511036;2025-06-04 16:26:50,000;1225099;39930;39932
2511037;2025-06-04 16:26:50,000;1225100;39930;39932
2511038;2025-06-04 16:26:50,000;1225101;39930;39932
2511039;2025-06-04 16:26:50,000;1225102;39930;39932
2511040;2025-06-04 16:26:50,000;1225103;39930;39932
2511041;2025-06-04 16:26:50,000;1225104;39930;39932
2511042;2025-06-04 16:26:50,000;1225105;39930;39932
2511043;2025-06-04 16:26:50,000;1225106;39930;39932
2511044;2025-06-04 16:26:50,000;1225107;39930;39932
2511045;2025-06-04 16:26:50,000;1225108;39930;39932
2511046;2025-06-04 16:26:50,000;1225109;39930;39932
2511047;2025-06-04 16:26:50,000;1225110;39930;39932
2511048;2025-06-04 16:26:50,000;1225111;39930;39932
2511049;2025-06-04 16:26:50,000;1225112;39930;39932
2511050;2025-06-04 16:26:50,000;1225113;39930;39932
2511051;2025-06-04 16:26:50,000;1225114;39930;39932
2511052;2025-06-04 16:26:50,000;1225115;39930;39932
2511053;2025-06-04 16:26:50,000;1225116;39930;39932
2511054;2025-06-04 16:26:50,000;1225117;39930;39932
2511055;2025-06-04 16:26:50,000;1225118;39930;39932
2511056;2025-06-04 16:26:50,000;1225119;39930;39932
2511057;2025-06-04 16:26:50,000;1225120;39930;39932
2511058;2025-06-04 16:26:50,000;1225121;39930;39932
2511059;2025-06-04 16:26:50,000;1225122;39930;39932
2511060;2025-06-04 16:26:50,000;1225123;39930;39932
2511061;2025-06-04 16:26:50,000;1225124;39930;39932
2511062;2025-06-04 16:26:50,000;1225125;39930;39932
2511063;2025-06-04 16:26:50,000;1225126;39930;39932
2511064;2025-06-04 16:26:50,000;1225127;39930;39932
2511065;2025-06-04 16:26:50,000;1225128;39930;39932
2511066;2025-06-04 16:26:50,000;1225129;39930;39932
2511067;2025-06-04 16:26:50,000;1225130;39930;39932
2511068;2025-06-04 16:26:50,000;1225131;39930;39932
2511069;2025-06-04 16:26:50,000;1225132;39930;39932
2511070;2025-06-04 16:26:50,000;1225133;39930;39932
2511071;2025-06-04 16:26:50,000;1225134;39930;39932
2511072;2025-06-04 16:26:50,000;1225135;39930;39932
2511073;2025-06-04 16:26:50,000;1225136;39930;39932
2511074;2025-06-04 16:26:50,000;1225137;39930;39932
2511075;2025-06-04 16:26:50,000;1225138;39930;39932
2511076;2025-06-04 16:26:50,000;1225139;39930;39932
2511077;2025-06-04 16:26:50,000;1225140;39930;39932
2511078;2025-06-04 16:26:50,000;1225141;39930;39932
2511079;2025-06-04 16:26:50,000;1225142;39930;39932
2511080;2025-06-04 16:26:50,000;1225143;39930;39932
2511081;2025-06-04 16:26:50,000;1225144;39930;39932
2511082;2025-06-04 16:26:50,000;1225145;39930;39932
2511083;2025-06-04 16:26:50,000;1225146;39930;39932
2511084;2025-06-04 16:26:50,000;1225147;39930;39932
2511085;2025-06-04 16:26:50,000;1225148;39930;39932
2511086;2025-06-04 16:26:50,000;1225149;39930;39932
2511087;2025-06-04 16:26:50,000;1225150;39930;39932
2511088;2025-06-04 16:26:50,000;1225151;39930;39932
2511089;2025-06-04 16:26:50,000;1225152;39930;39932
2511090;2025-06-04 16:26:50,000;1225153;39930;39932
2511091;2025-06-04 16:26:50,000;1225154;39930;39932
2511092;2025-06-04 16:26:50,000;1225155;39930;39932
2511093;2025-06-04 16:26:50,000;1225156;39930;39932
2511094;2025-06-04 16:26:50,000;1225157;39930;39932
2511095;2025-06-04 16:26:50,000;1225158;39930;39932
2511096;2025-06-04 16:26:50,000;1225159;39930;39932
2511097;2025-06-04 16:26:50,000;1225160;39930;39932
2511098;2025-06-04 16:26:50,000;1225161;39930;39932
2511099;2025-06-04 16:26:50,000;1225162;39930;39932
2511100;2025-06-04 16:26:50,000;1225163;39930;39932
2511101;2025-06-04 16:26:50,000;1225164;39930;39932
2511102;2025-06-04 16:26:50,000;1225165;39930;39932
2511103;2025-06-04 16:26:50,000;1225166;39930;39932
2511104;2025-06-04 16:26:50,000;1225167;39930;39932
2511105;2025-06-04 16:26:50,000;1225168;39930;39932
2511106;2025-06-04 16:26:50,000;1225169;39930;39932
2511107;2025-06-04 16:26:50,000;1225170;39930;39932
2511108;2025-06-04 16:26:50,000;1225171;39930;39932
2511109;2025-06-04 16:26:50,000;1225172;39930;39932
2511110;2025-06-04 16:26:50,000;1225173;39930;39932
2511111;2025-06-04 16:26:50,000;1225174;39930;39932
2511112;2025-06-04 16:26:50,000;1225175;39930;39932
2511113;2025-06-04 16:26:50,000;1225176;39930;39932
2511114;2025-06-04 16:26:50,000;1225177;39930;39932
2511115;2025-06-04 16:26:50,000;1225178;39930;39932
