id_ubicacionxbarrio;latitud;longitud;id_barrio
701027;-34,516638864;-58,468626429;25014
701028;-34,5167031089999;-58,4686978129999;25014
701029;-34,516767354;-58,46875492;25014
701030;-34,516853016;-58,4688477189999;25014
701031;-34,516902984;-58,468911965;25014
701032;-34,5169529529999;-58,46901904;25014
701033;-34,516988645;-58,469176085;25014
701034;-34,517017198;-58,4693331289999;25014
701035;-34,517031474;-58,4694830349999;25014
701036;-34,5170457519999;-58,469554419;25014
701037;-34,5170743049999;-58,4696115259999;25014
701038;-34,517217073;-58,469668633;25014
701039;-34,517502608;-58,4697328779999;25014
701040;-34,5177238979999;-58,469789986;25014
701041;-34,517988018;-58,469789986;25014
701042;-34,5180879559999;-58,469804263;25014
701043;-34,518287831;-58,469768571;25014
701044;-34,518387768;-58,4697186019999;25014
701045;-34,518430597;-58,46964008;25014
701046;-34,5184591519999;-58,469497312;25014
701047;-34,5184591519999;-58,469425928;25014
701048;-34,5184877039999;-58,469390236;25014
701049;-34,518544811;-58,469433067;25014
701050;-34,5185947799999;-58,4694544819999;25014
701051;-34,518616196;-58,469447343;25014
701052;-34,5187518239999;-58,4692331919999;25014
701053;-34,518908869;-58,469118978;25014
701054;-34,519065914;-58,468997625;25014
701055;-34,519287203;-58,468861996;25014
701056;-34,519558462;-58,4686906749999;25014
701057;-34,519644123;-58,468619291;25014
701058;-34,5197654749999;-58,468497938;25014
701059;-34,5198582749999;-58,468433693;25014
701060;-34,519908244;-58,468398001;25014
701061;-34,519943934;-58,468376586;25014
701062;-34,520029596;-58,468355171;25014
701063;-34,5201081179999;-58,4683266169999;25014
701064;-34,5202151939999;-58,4683194789999;25014
701065;-34,5203722369999;-58,468390863;25014
701066;-34,520479313;-58,4684551079999;25014
701067;-34,5206220819999;-58,468512215;25014
701068;-34,5207577109999;-58,468540769;25014
701069;-34,520857647;-58,46853363;25014
701070;-34,5208862019999;-58,4684908;25014
701071;-34,520879064;-58,468412278;25014
701072;-34,520914756;-58,468362309;25014
701073;-34,5209932779999;-58,468383724;25014
701074;-34,521114629;-58,468390863;25014
701075;-34,5211360449999;-58,4683266169999;25014
701076;-34,521214567;-58,46817671;25014
701077;-34,5212788119999;-58,46817671;25014
701078;-34,5213644739999;-58,468240957;25014
701079;-34,521442995;-58,4683194789999;25014
701080;-34,521508393;-58,468424114;25014
701081;-34,5215143799999;-58,468433693;25014
701082;-34,521585764;-58,468419416;25014
701083;-34,5216357319999;-58,468362309;25014
701084;-34,521714253;-58,468290925;25014
701085;-34,521785638;-58,4682052649999;25014
701086;-34,521935544;-58,468162434;25014
701087;-34,522064035;-58,4681053269999;25014
701088;-34,522185387;-58,46804822;25014
701089;-34,522335294;-58,4679625599999;25014
701090;-34,5224923379999;-58,467898314;25014
701091;-34,522556584;-58,4678269299999;25014
701092;-34,5226565209999;-58,467791239;25014
701093;-34,522827842;-58,467776962;25014
701094;-34,5229420549999;-58,467726993;25014
701095;-34,522963471;-58,467662748;25014
701096;-34,5231205159999;-58,4674700109999;25014
701097;-34,523220452;-58,467412904;25014
701098;-34,5232561449999;-58,4673415199999;25014
701099;-34,5232632829999;-58,467234445;25014
701100;-34,5232846989999;-58,467127369;25014
701101;-34,52332039;-58,466998878;25014
701102;-34,523356083;-58,46685611;25014
701103;-34,5234060509999;-58,466720481;25014
701104;-34,523491712;-58,4665562979999;25014
701105;-34,523577372;-58,4664349459999;25014
701106;-34,523648755;-58,466356424;25014
701107;-34,523734417;-58,466242209;25014
701108;-34,523841493;-58,466127995;25014
701109;-34,52394143;-58,4660494729999;25014
701110;-34,524084198;-58,465963813;25014
701111;-34,5241698579999;-58,465899567;25014
701112;-34,524241241;-58,4658067679999;25014
701113;-34,5240506744616;-58,4658869609613;25014
701114;-34,5238612526267;-58,4659417935977;25014
701115;-34,5238263591308;-58,4657473869777;25014
701116;-34,5238487906639;-58,465585381461;25014
701117;-34,5239634407218;-58,46535109656;25014
701118;-34,5241478777716;-58,4652439236797;25014
701119;-34,5243672083172;-58,4653211878492;25014
701120;-34,52446967;-58,465378465;25014
701121;-34,52446967;-58,4652928049999;25014
701122;-34,524491085;-58,4651714519999;25014
701123;-34,5245553299999;-58,465007268;25014
701124;-34,524562094;-58,4649937409999;25014
701125;-34,524598161;-58,464921609;25014
701126;-34,5246909599999;-58,464814533;25014
701127;-34,524755206;-58,4647574259999;25014
701128;-34,524862281;-58,46469318;25014
701129;-34,524924052;-58,464657882;25014
701130;-34,524962219;-58,464636073;25014
701131;-34,525033602;-58,464600381;25014
701132;-34,525104986;-58,464557551;25014
701133;-34,5251763699999;-58,4645289979999;25014
701134;-34,5252905839999;-58,464471889;25014
701135;-34,525411936;-58,4644076449999;25014
701136;-34,525519012;-58,464321984;25014
701137;-34,525611812;-58,46420777;25014
701138;-34,5256903329999;-58,4641292479999;25014
701139;-34,52575122;-58,464085757;25014
701140;-34,52579027;-58,464057864;25014
701141;-34,525875932;-58,463986479;25014
701142;-34,525968731;-58,4638936809999;25014
701143;-34,5260758059999;-58,463800882;25014
701144;-34,5261757439999;-58,4636652529999;25014
701145;-34,526247128;-58,4635581759999;25014
701146;-34,5262828199999;-58,463451102;25014
701147;-34,526339927;-58,463365441;25014
701148;-34,526389894;-58,463229812;25014
701149;-34,5264255869999;-58,463165566;25014
701150;-34,526482694;-58,4630370749999;25014
701151;-34,526511248;-58,462965692;25014
701152;-34,5265754929999;-58,462837201;25014
701153;-34,526618324;-58,4627444019999;25014
701154;-34,526711123;-58,4626301879999;25014
701155;-34,5268324749999;-58,462537389;25014
701156;-34,5268681659999;-58,46253025;25014
701157;-34,5269538279999;-58,4625016969999;25014
701158;-34,5270965949999;-58,462466005;25014
701159;-34,527175117;-58,462466005;25014
701160;-34,527267916;-58,462458866;25014
701161;-34,5273250229999;-58,462423174;25014
701162;-34,527417822;-58,462344652;25014
701163;-34,527424961;-58,462287545;25014
701164;-34,527415424;-58,462260844;25014
701165;-34,527389269;-58,462187608;25014
701166;-34,527374992;-58,4621162239999;25014
701167;-34,5273107469999;-58,4621090859999;25014
701168;-34,5272393619999;-58,46218047;25014
701169;-34,527125149;-58,4622375769999;25014
701170;-34,527018073;-58,4622375769999;25014
701171;-34,526910997;-58,462209023;25014
701172;-34,526811059;-58,462151916;25014
701173;-34,526753952;-58,46204484;25014
701174;-34,5266968449999;-58,461916349;25014
701175;-34,526639739;-58,461787858;25014
701176;-34,526611185;-58,461659368;25014
701177;-34,5266040459999;-58,4614809079999;25014
701178;-34,5265612159999;-58,461302448;25014
701179;-34,5265612159999;-58,461138266;25014
701180;-34,5265587929999;-58,4610922379999;25014
701181;-34,5265540779999;-58,4610026359999;25014
701182;-34,5265540779999;-58,460902699;25014
701183;-34,5265826319999;-58,460759931;25014
701184;-34,5265826319999;-58,460637186;25014
701185;-34,5265826319999;-58,460567195;25014
701186;-34,526625462;-58,4603459049999;25014
701187;-34,526661154;-58,4602102759999;25014
701188;-34,5267253989999;-58,460017539;25014
701189;-34,526782506;-58,4599461559999;25014
701190;-34,526811059;-58,459903324;25014
701191;-34,5269119411253;-58,4596360404101;25014
701192;-34,5270365607535;-58,4596335480176;25014
701193;-34,5271786271297;-58,4595712382035;25014
701194;-34,5273979576754;-58,4595139131745;25014
701195;-34,527783905;-58,459564093;25014
701196;-34,5278915489999;-58,459647807;25014
701197;-34,52789754;-58,4596524679999;25014
701198;-34,5278988539999;-58,459653491;25014
701199;-34,52790865;-58,459661114;25014
701200;-34,527910821;-58,459662802;25014
701201;-34,5279657369999;-58,459705534;25014
701202;-34,527968785;-58,459707904;25014
701203;-34,5280366229999;-58,459760692;25014
701204;-34,528041463;-58,4597644569999;25014
701205;-34,5280546389999;-58,459774711;25014
701206;-34,528108109;-58,4598163169999;25014
701207;-34,528445571;-58,4600789039999;25014
701208;-34,528666588;-58,460250883;25014
701209;-34,5287621329999;-58,4603252279999;25014
701210;-34,529449257;-58,460859893;25014
701211;-34,529746717;-58,4610625239999;25014
701212;-34,530080061;-58,461289598;25014
701213;-34,53007;-58,4611101;25014
701214;-34,5312811224661;-58,4612093046257;25014
700621;-34,4995752905022;-58,477457674528;14086
700622;-34,499554334;-58,477316221;14086
700623;-34,4995781289999;-58,477298375;14086
700624;-34,499697101;-58,4772448369999;14086
700625;-34,499732947;-58,47722586;14086
700626;-34,499798228;-58,477191299;14086
700627;-34,499940996;-58,477149659;14086
700628;-34,5000483069999;-58,477129218;14086
700629;-34,500065918;-58,477125864;14086
700630;-34,500226531;-58,477125864;14086
700631;-34,5003276579999;-58,47714371;14086
700632;-34,500458529;-58,477155607;14086
700633;-34,5005537069999;-58,477149659;14086
