id_ciudadano_incidente;id_adjunto_archivo
5954282;1717103
5954514;1717240
5957004;1717301
5957043;1717316
5957043;1717317
5957171;1717376
5957171;1717377
5957193;1717390
5957247;1717424
5957492;1717605
5957492;1717606
5960561;1717766
5960561;1717767
5960680;1717792
5960706;1717822
5960719;1717827
5960744;1717841
5961142;1717944
5961196;1717952
5961990;1718163
5964283;1718981
5964283;1718982
5964552;1719039
5964552;1719040
5964683;1719065
5964886;1719123
5964887;1719125
5964890;1719127
5964932;1719148
5964964;1719159
5965313;1719393
5965537;1719582
5965538;1719583
5965651;1719680
5966005;1719865
5966005;1719866
5967565;1720054
5968318;1720285
5968318;1720286
5968585;1720358
5968585;1720359
5968595;1720360
5968595;1720361
5968612;1720366
5969126;1720442
5971335;1721126
5972109;1721394
5972114;1721399
5972163;1721424
5972484;1721672
5972484;1721673
5972640;1721848
5972647;1721853
5972687;1721878
5972687;1721879
5972735;1721911
5972833;1721963
5972837;1721966
5972837;1721967
5972895;1722010
5972895;1722011
5972991;1722092
5974792;1722224
5974793;1722225
5974953;1722365
5974953;1722366
5974953;1722367
5974988;1722396
5975190;1722511
5975206;1722524
5975209;1722527
5975224;1722543
5975248;1722567
5975248;1722568
5977824;1722804
5978715;1723042
5979434;1723208
5979434;1723209
5979678;1723267
5979678;1723268
5980256;1723477
5980766;1723680
5980766;1723681
5981842;1723982
5981952;1724031
5982142;1724122
5982142;1724123
5982436;1724464
5982436;1724465
5982492;1724486
5982492;1724487
5982738;1724586
5982846;1724642
5982846;1724643
5982947;1724685
5982963;1724711
5982963;1724712
5984162;1725049
5984587;1725186
5985010;1725297
5985619;1725407
5986677;1725673
5986961;1725755
5986961;1725756
5986969;1725759
5986969;1725760
5987609;1725876
5987711;1725913
5987711;1725914
5987773;1725947
5987773;1725948
5987924;1726006
5988002;1726063
5988119;1726118
5988151;1726131
5988151;1726132
5988161;1726139
5988161;1726140
5988168;1726142
5988193;1726149
5988193;1726150
5988300;1726209
5988407;1726264
5988407;1726265
5988562;1726362
5988562;1726363
5989042;1726478
5989042;1726479
5989290;1726620
5989394;1726729
5989437;1726773
5989437;1726774
5989455;1726777
5989457;1726778
5989457;1726779
5989458;1726780
5989458;1726781
5989464;1726785
5989464;1726786
5989494;1726801
5989614;1726909
5989614;1726910
5989614;1726911
5989721;1727069
5989722;1727070
5989730;1727077
5990005;1727271
5990005;1727272
5990715;1727360
5990726;1727365
5990736;1727375
5990811;1727434
5990818;1727441
5990903;1727500
5990903;1727501
5991063;1727622
5991063;1727623
5991075;1727637
5991112;1727659
5991112;1727660
5991115;1727662
5991115;1727663
5991378;1727855
5991378;1727856
5992409;1727933
5992409;1727934
5992480;1727953
5992860;1728078
5992860;1728079
5993628;1728341
5993628;1728342
5994078;1728426
5994126;1728444
5994538;1728570
5994538;1728571
5995632;1728794
5995664;1728809
5995664;1728810
5996504;1729099
5996504;1729100
5996600;1729123
5997781;1729551
5997792;1729571
5998112;1729832
6000581;1730212
6000915;1730285
6000915;1730286
6000943;1730296
6000943;1730297
6001032;1730326
6001032;1730327
6001105;1730340
6001105;1730341
6001319;1730398
6001319;1730399
6001363;1730411
6001776;1730498
6002131;1730599
6002365;1730637
6002365;1730638
6003582;1731001
6003582;1731002
6004239;1731220
6004251;1731223
6004303;1731233
6004387;1731278
6004633;1731345
6004986;1731434
6005007;1731442
6005035;1731451
6005056;1731455
6005061;1731459
6005330;1731555
6005621;1731686
6005688;1731741
6005688;1731742
6005746;1731798
6005746;1731799
6005746;1731800
6005885;1731936
6005885;1731937
6005977;1731977
6005977;1731978
6005995;1731980
6006109;1732010
6006158;1732036
6006159;1732037
6006183;1732046
6006183;1732047
6006372;1732174
6006372;1732175
6006450;1732232
6006463;1732242
6006464;1732243
6006468;1732245
6007739;1732384
6009627;1732448
6010009;1732585
6011856;1732963
6011856;1732964
6012959;1733287
6012959;1733288
6014138;1733650
6014138;1733651
6014482;1733853
6014482;1733854
6014483;1733855
6014483;1733856
6014703;1733988
6014703;1733989
6015253;1734231
6015254;1734232
6015254;1734233
6015465;1734253
6015626;1734280
6016444;1734530
6016706;1734592
6017814;1734936
6017910;1734956
6019203;1735349
6020624;1736012
6022772;1736502
6022772;1736503
6022772;1736504
6022795;1736511
6022801;1736516
6022801;1736517
6022858;1736524
6022858;1736525
6022900;1736536
6022900;1736537
6025143;1737157
6025573;1737310
6025573;1737311
6025808;1737369
6025868;1737386
6026294;1737545
6026799;1737643
6026799;1737644
6026936;1737743
6026936;1737744
6026964;1737749
6027358;1737898
6027385;1737912
6027520;1737984
6027598;1738030
6027598;1738031
6028957;1738250
6029161;1738414
6029267;1738472
6029458;1738558
6029458;1738559
6030947;1738805
6031177;1738946
6031177;1738947
6031213;1738971
6031214;1738972
6031215;1738973
6031276;1739031
6031276;1739032
6031664;1739177
6033044;1739246
6033298;1739310
6033367;1739325
6033382;1739331
6033382;1739332
6033521;1739363
6033521;1739364
6034387;1739522
6034387;1739524
6034456;1739541
6034456;1739542
6034524;1739566
6034524;1739567
6035118;1739619
6036065;1739767
6036738;1739931
6038448;1740397
6038448;1740398
6038462;1740401
6038527;1740431
6038527;1740432
6038550;1740437
6038550;1740438
6038613;1740465
6038613;1740466
6038784;1740558
6039026;1740731
6039026;1740732
6039044;1740746
6039049;1740751
6039177;1740858
6039286;1740878
6039286;1740879
6041300;1740986
6041304;1740989
6041315;1740994
6042298;1741177
6042298;1741178
6043893;1741479
6043893;1741480
6044432;1741607
6044432;1741608
6045014;1741745
6045014;1741746
6045014;1741747
6045232;1741833
6045454;1741882
6046619;1742142
6046940;1742317
6046940;1742318
6047189;1742497
6047570;1742746
6047706;1742846
6049124;1742927
6049124;1742928
6049619;1743024
6049619;1743025
6051015;1743358
6051015;1743359
6052161;1743618
6052161;1743619
6052667;1743704
6053110;1743783
6053110;1743784
6053110;1743785
6053450;1743832
6054077;1743957
6054077;1743958
6054126;1743980
6054126;1743981
6054147;1743988
6054147;1743989
6054175;1744007
6054175;1744008
6054257;1744041
6054278;1744044
6054451;1744126
6058148;1744590
6058165;1744597
6058320;1744643
6059956;1744934
6060973;1745202
6061879;1745391
6062148;1745497
6062148;1745498
6062183;1745514
6062658;1745757
6062805;1745829
6062805;1745830
6062983;1745961
6062990;1745965
6066783;1746184
6068095;1746531
6068095;1746532
6069177;1746769
6069858;1746974
6069858;1746975
6070307;1747121
6070382;1747178
6070439;1747230
6070495;1747274
6070495;1747275
6070499;1747277
6070499;1747278
6070613;1747362
6070613;1747363
6070749;1747445
6071770;1747778
6071770;1747779
6071771;1747780
6071771;1747781
6071772;1747783
6071772;1747784
6071777;1747788
6071809;1747844
6071809;1747845
6071839;1747871
6071859;1747883
6071929;1747924
6071978;1747967
6072031;1747996
6072064;1748013
6072064;1748014
6072093;1748021
6072093;1748022
6072095;1748023
6072201;1748089
6073275;1748130
6073275;1748131
6073293;1748134
6073345;1748169
6073345;1748170
6073367;1748183
6073367;1748184
6073765;1748461
6073765;1748462
6075724;1748705
6075724;1748706
6076483;1748858
6079591;1749499
6079824;1749542
6079824;1749543
6080104;1749619
6080124;1749627
6080584;1749799
6080584;1749800
6081101;1750083
6083547;1750536
6083547;1750537
6083614;1750551
6083614;1750552
6084102;1750691
6084102;1750692
6085499;1751006
6085499;1751007
6086855;1751350
6086855;1751351
6087268;1751456
6087268;1751457
6087876;1751578
6088576;1751943
6088638;1751977
6088638;1751978
6088766;1752033
6088766;1752034
6088917;1752145
6091331;1752808
6091730;1752895
6091773;1752903
6093054;1753181
6093054;1753182
6093910;1753357
6094523;1753475
6094848;1753709
6094872;1753720
6095021;1753795
6095021;1753796
6097952;1754565
6098201;1754626
6099212;1754867
6099423;1754909
6099423;1754910
6100364;1755220
6100364;1755221
6101134;1755387
6101165;1755395
6101207;1755427
6101891;1755841
6101891;1755842
6103607;1756041
6103607;1756042
6105607;1756526
6106944;1756930
6106944;1756931
6107536;1757323
6107536;1757324
6107643;1757445
6107644;1757446
6107902;1757568
6108738;1757673
6108799;1757751
6108925;1757849
6108930;1757857
6108934;1757858
6109361;1758130
6109365;1758137
6110689;1758388
6110689;1758389
6110777;1758450
6110832;1758490
6110832;1758491
6110894;1758527
6110898;1758536
6110900;1758546
6111006;1758590
6111120;1758645
6112773;1758753
6112826;1758766
6113959;1758966
6115518;1759290
6115873;1759370
6116800;1759539
6117368;1759692
6117476;1759739
6117506;1759744
6117533;1759769
6117546;1759772
6117914;1759912
6117914;1759913
6117926;1759925
6117993;1759966
6118118;1760044
6118190;1760080
6118627;1760294
6122251;1760611
6122251;1760612
6122536;1760688
6123442;1760832
6123442;1760833
6123984;1760974
6126072;1761454
6126072;1761455
6126095;1761459
6126095;1761460
6126270;1761493
6127229;1761848
6127294;1761881
6127294;1761882
6127476;1761991
6127491;1761998
6127523;1762018
6127615;1762057
6128481;1762227
6128655;1762264
6130263;1762589
6132964;1763127
6133635;1763345
6133861;1763399
6137302;1763764
6137810;1763896
6142075;1764837
6142075;1764838
6142483;1765028
6142483;1765029
6142694;1765115
6142809;1765172
6147223;1765726
6147223;1765727
6147585;1765820
6149060;1766134
6149060;1766135
6149084;1766138
6149296;1766172
6149315;1766177
6150972;1766652
6150988;1766661
6151005;1766671
6151005;1766672
6151008;1766673
6151353;1766935
6153201;1767132
6153209;1767133
6153246;1767154
6153362;1767228
6153560;1767381
6153637;1767416
6153705;1767461
6153978;1767557
6154075;1767606
6154139;1767647
6154327;1767797
6154327;1767798
6154370;1767817
6154393;1767851
6154438;1767882
6154438;1767883
6154447;1767889
6154497;1767924
6154532;1767949
6154773;1768007
6154785;1768010
6155640;1768135
6157087;1768400
6157574;1768485
6157574;1768486
6158419;1768635
6159011;1768740
6159011;1768741
6160156;1768980
6160170;1768986
6160180;1768989
6160192;1768997
6160216;1769001
6160428;1769109
6160428;1769110
6160484;1769140
6160705;1769254
6160705;1769255
6160852;1769305
6160852;1769306
6162365;1769591
6163077;1769726
6163220;1769740
6163545;1769803
6164399;1769963
6164399;1769964
6165741;1770179
6165781;1770188
6165781;1770189
6166700;1770409
6167158;1770531
6168055;1770786
6168055;1770787
6168433;1770921
6168433;1770922
6168532;1770970
6169631;1771300
6169763;1771324
6170231;1771425
6170231;1771426
6170366;1771473
6171574;1771727
6172551;1771877
6172551;1771878
6172566;1771884
6172566;1771885
6174473;1772341
6174473;1772342
6175162;1772646
6175162;1772647
6175283;1772747
6175283;1772748
6175283;1772749
6176251;1772966
6176251;1772967
6176277;1772975
6176277;1772976
6177470;1773188
6177620;1773211
6181718;1774149
6181718;1774150
6181756;1774181
6181756;1774182
6183171;1774627
6183356;1774782
6183356;1774783
6183356;1774784
6183402;1774823
6183595;1774982
6183621;1775036
6183621;1775037
6183749;1775181
6183749;1775182
6185159;1775721
6185159;1775722
6185188;1775745
6185188;1775746
6185196;1775753
6185196;1775754
6185196;1775755
6185196;1775756
6185201;1775761
6185255;1775796
6185314;1775827
6186532;1776068
6186533;1776069
6186542;1776072
6186618;1776113
6186629;1776124
6186637;1776126
6186681;1776181
6188701;1776409
6188701;1776410
6190081;1776617
6190143;1776626
6190376;1776657
6191417;1776846
6193488;1777289
6194262;1777494
6194262;1777495
6194402;1777545
6194402;1777546
6194444;1777566
6194444;1777567
6194523;1777618
6194544;1777629
6194549;1777630
6194557;1777633
6194569;1777641
6194702;1777696
6194784;1777719
6200785;1778572
6200785;1778573
6200809;1778581
6201032;1778646
6201032;1778647
6201064;1778657
6201143;1778673
6201143;1778674
6235275;1778995
6235728;1779204
6235734;1779210
6235953;1779325
6238477;1779432
6242699;1780590
6242702;1780592
6242728;1780597
6242730;1780598
6243406;1780834
6243658;1780977
6243685;1780986
6243874;1781051
6243874;1781052
6243952;1781103
6245486;1781475
6245488;1781476
6245488;1781477
6245552;1781486
6245603;1781504
6245603;1781505
6247416;1781916
6247479;1781921
6280780;1782003
6280780;1782004
6281578;1782144
6281578;1782145
6281728;1782181
6281728;1782182
6282506;1782367
6283714;1782779
6283714;1782780
6287250;1783541
6288905;1783876
6290340;1784232
6496137;1784617
6496312;1784685
6496997;1785063
6497158;1785177
6497160;1785178
6497462;1785374
6498170;1785790
6498170;1785791
6498176;1785798
6498191;1785810
6498191;1785811
6498263;1785860
6498381;1785950
6498640;1786037
6498732;1786058
6498732;1786059
6499140;1786138
6501894;1786648
6501912;1786650
6503084;1786954
6503250;1786981
6504529;1787251
6504547;1787258
6505197;1787634
6505197;1787635
6505259;1787686
6505259;1787687
6506843;1788240
6509207;1788733
6509207;1788734
6509249;1788746
6509249;1788747
6509371;1788787
6509371;1788788
6510558;1788988
6511876;1789271
6511876;1789272
6511992;1789357
6511992;1789358
6511992;1789359
6511994;1789360
6511994;1789361
6511994;1789362
6512645;1789662
6512668;1789673
6512694;1789683
6512694;1789684
6512723;1789698
6512723;1789699
6512724;1789700
6512724;1789701
6512880;1789784
6512930;1789813
6513086;1789859
6513859;1790010
6513911;1790020
6513978;1790038
6514009;1790043
6514066;1790048
6514267;1790073
6514267;1790074
6515400;1790267
6517948;1790835
6518199;1790877
6518199;1790878
6518199;1790879
6518276;1790897
6518276;1790898
6518276;1790899
6518326;1790912
6518784;1791042
6518784;1791043
6519922;1791784
6519922;1791785
6520081;1791842
6520205;1791898
6521028;1792013
6521134;1792046
6521190;1792056
6523226;1792538
6523226;1792539
6524749;1792841
6524749;1792842
6525085;1792935
6525173;1792976
6525173;1792977
6525485;1793140
6525676;1793316
6525752;1793334
6525996;1793431
6526057;1793453
6526149;1793488
6526157;1793490
6526171;1793494
6526865;1793706
6529240;1794182
6530827;1794565
6531692;1794747
6531692;1794748
6532164;1795108
6532399;1795229
6532399;1795230
6532479;1795294
6532705;1795395
6532705;1795396
6532913;1795581
6532913;1795582
6532921;1795588
6532951;1795597
6533387;1795838
6533387;1795839
6533489;1795852
6533489;1795853
6533647;1795881
6533647;1795882
6534177;1796211
6534301;1796288
6534301;1796289
6536019;1796817
6536024;1796819
6538685;1797414
6538685;1797415
6538718;1797420
6538784;1797434
6538784;1797435
6539430;1797625
6539430;1797626
6539743;1797702
6539743;1797703
6539824;1797722
6539824;1797723
6540608;1798119
6540608;1798120
6540803;1798238
6540954;1798328
6541296;1798541
6543161;1798994
6543198;1799001
6544864;1799454
6546060;1799777
6547135;1800253
6547630;1800541
6550857;1801387
6551669;1801607
6551730;1801613
6551744;1801616
6551839;1801648
6552147;1801733
6552147;1801734
6552263;1801775
6552355;1801801
6552355;1801802
6553210;1802090
6553358;1802186
6553532;1802269
6553532;1802270
6553653;1802343
6553653;1802344
6554767;1802770
6554767;1802771
6556654;1803243
6556654;1803244
6556754;1803308
6556754;1803309
6557827;1803690
6557827;1803691
6558045;1803811
6558045;1803812
6558111;1803834
6558265;1803867
6558353;1803879
6559379;1804380
6559605;1804520
6560378;1804857
6561939;1805194
6561939;1805195
6561988;1805208
6562034;1805224
6564611;1805989
6564934;1806292
6565110;1806419
6565157;1806459
6565517;1806654
6565517;1806655
6565542;1806673
6565637;1806728
6566011;1806996
6566011;1806997
6566028;1807012
6566106;1807067
6566106;1807068
6566111;1807069
6566658;1807389
6566658;1807390
6566881;1807538
6572613;1808928
6572917;1809194
6572917;1809195
6573098;1809328
6573185;1809353
6573386;1809479
6575201;1809941
6575201;1809942
6576113;1810123
6577645;1810553
6578510;1810777
6578510;1810778
6578547;1810789
6578547;1810790
6578895;1810976
6579389;1811321
6579609;1811470
6580736;1811937
6581278;1812027
6581566;1812105
6581566;1812106
6581703;1812145
6581703;1812146
6581760;1812160
6581917;1812202
6581917;1812203
6581963;1812220
6581963;1812221
6585134;1813177
6585966;1813874
6588880;1814760
6590246;1815178
6590353;1815203
6590353;1815204
6590414;1815225
6590477;1815244
6590484;1815248
6590558;1815281
6590778;1815356
6590778;1815357
6590934;1815438
6591563;1815849
6591672;1815901
6592997;1816557
6592997;1816558
6593734;1816709
6593734;1816710
6595459;1817173
6595459;1817174
6596748;1817594
6596748;1817595
6596767;1817601
6596806;1817618
6596973;1817701
6597191;1817778
6597564;1818012
6597599;1818036
6597619;1818049
6597619;1818050
6597619;1818051
6597848;1818231
6597848;1818232
6599132;1819176
6599132;1819177
6599134;1819178
6599134;1819179
6599268;1819334
6599268;1819335
6599598;1819504
6599691;1819523
6599691;1819524
6600070;1819589
6600098;1819593
6600130;1819595
6600643;1819699
6600655;1819700
6602609;1820141
6603210;1820295
6603418;1820348
6603418;1820349
6603906;1820460
6604636;1820640
6605760;1821316
6608978;1821996
6608978;1821997
6609262;1822066
6609262;1822067
6610355;1822490
6610355;1822491
6610500;1822523
6610543;1822531
6610543;1822532
6610632;1822561
6610632;1822562
6611451;1823026
6611639;1823172
6613129;1823603
6613269;1823628
6614128;1823829
6615602;1824191
6615647;1824198
6617219;1824650
6617464;1824911
6618051;1825292
6618198;1825336
6618198;1825337
6620585;1825963
6620984;1826082
6620984;1826083
6621968;1826424
6621968;1826425
6622947;1826733
6622947;1826734
6627648;1827223
6627718;1827277
6627762;1827310
6628617;1827679
6628617;1827680
6631890;1828801
6632812;1829094
6632812;1829095
6633018;1829262
6633151;1829339
6633177;1829364
6633314;1829479
6633314;1829480
6633416;1829585
6634074;1830058
6634074;1830059
6634075;1830060
6634076;1830061
6634078;1830063
6634078;1830064
6634131;1830102
6634311;1830276
6634311;1830277
6634376;1830343
6634376;1830344
