Date;Año;NroMes;Mes;NroTrimestre;Trimestre;Día
1900-03-17 00:00:00,000;1900;3;"marzo";1;"Trim. 1";17
1900-03-18 00:00:00,000;1900;3;"marzo";1;"Trim. 1";18
1900-03-19 00:00:00,000;1900;3;"marzo";1;"Trim. 1";19
1900-03-20 00:00:00,000;1900;3;"marzo";1;"Trim. 1";20
1900-03-21 00:00:00,000;1900;3;"marzo";1;"Trim. 1";21
1900-03-22 00:00:00,000;1900;3;"marzo";1;"Trim. 1";22
1900-03-23 00:00:00,000;1900;3;"marzo";1;"Trim. 1";23
1900-03-24 00:00:00,000;1900;3;"marzo";1;"Trim. 1";24
1900-03-25 00:00:00,000;1900;3;"marzo";1;"Trim. 1";25
1900-03-26 00:00:00,000;1900;3;"marzo";1;"Trim. 1";26
1900-03-27 00:00:00,000;1900;3;"marzo";1;"Trim. 1";27
1900-03-28 00:00:00,000;1900;3;"marzo";1;"Trim. 1";28
1900-03-29 00:00:00,000;1900;3;"marzo";1;"Trim. 1";29
1900-03-30 00:00:00,000;1900;3;"marzo";1;"Trim. 1";30
1900-03-31 00:00:00,000;1900;3;"marzo";1;"Trim. 1";31
1900-04-01 00:00:00,000;1900;4;"abril";2;"Trim. 2";1
1900-04-02 00:00:00,000;1900;4;"abril";2;"Trim. 2";2
1900-04-03 00:00:00,000;1900;4;"abril";2;"Trim. 2";3
1900-04-04 00:00:00,000;1900;4;"abril";2;"Trim. 2";4
1900-04-05 00:00:00,000;1900;4;"abril";2;"Trim. 2";5
1900-04-06 00:00:00,000;1900;4;"abril";2;"Trim. 2";6
1900-04-07 00:00:00,000;1900;4;"abril";2;"Trim. 2";7
1900-04-08 00:00:00,000;1900;4;"abril";2;"Trim. 2";8
1900-04-09 00:00:00,000;1900;4;"abril";2;"Trim. 2";9
1900-04-10 00:00:00,000;1900;4;"abril";2;"Trim. 2";10
1900-04-11 00:00:00,000;1900;4;"abril";2;"Trim. 2";11
1900-04-12 00:00:00,000;1900;4;"abril";2;"Trim. 2";12
1900-04-13 00:00:00,000;1900;4;"abril";2;"Trim. 2";13
1900-04-14 00:00:00,000;1900;4;"abril";2;"Trim. 2";14
1900-04-15 00:00:00,000;1900;4;"abril";2;"Trim. 2";15
1900-04-16 00:00:00,000;1900;4;"abril";2;"Trim. 2";16
1900-04-17 00:00:00,000;1900;4;"abril";2;"Trim. 2";17
1900-04-18 00:00:00,000;1900;4;"abril";2;"Trim. 2";18
1900-04-19 00:00:00,000;1900;4;"abril";2;"Trim. 2";19
1900-04-20 00:00:00,000;1900;4;"abril";2;"Trim. 2";20
1900-04-21 00:00:00,000;1900;4;"abril";2;"Trim. 2";21
1900-04-22 00:00:00,000;1900;4;"abril";2;"Trim. 2";22
1900-04-23 00:00:00,000;1900;4;"abril";2;"Trim. 2";23
1900-04-24 00:00:00,000;1900;4;"abril";2;"Trim. 2";24
1900-04-25 00:00:00,000;1900;4;"abril";2;"Trim. 2";25
1900-04-26 00:00:00,000;1900;4;"abril";2;"Trim. 2";26
1900-04-27 00:00:00,000;1900;4;"abril";2;"Trim. 2";27
1900-04-28 00:00:00,000;1900;4;"abril";2;"Trim. 2";28
1900-04-29 00:00:00,000;1900;4;"abril";2;"Trim. 2";29
1900-04-30 00:00:00,000;1900;4;"abril";2;"Trim. 2";30
1900-05-01 00:00:00,000;1900;5;"mayo";2;"Trim. 2";1
1900-05-02 00:00:00,000;1900;5;"mayo";2;"Trim. 2";2
1900-05-03 00:00:00,000;1900;5;"mayo";2;"Trim. 2";3
1900-05-04 00:00:00,000;1900;5;"mayo";2;"Trim. 2";4
1900-05-05 00:00:00,000;1900;5;"mayo";2;"Trim. 2";5
1900-05-06 00:00:00,000;1900;5;"mayo";2;"Trim. 2";6
1900-05-07 00:00:00,000;1900;5;"mayo";2;"Trim. 2";7
1900-05-08 00:00:00,000;1900;5;"mayo";2;"Trim. 2";8
1900-05-09 00:00:00,000;1900;5;"mayo";2;"Trim. 2";9
1900-05-10 00:00:00,000;1900;5;"mayo";2;"Trim. 2";10
1900-05-11 00:00:00,000;1900;5;"mayo";2;"Trim. 2";11
1900-05-12 00:00:00,000;1900;5;"mayo";2;"Trim. 2";12
1900-05-13 00:00:00,000;1900;5;"mayo";2;"Trim. 2";13
1900-05-14 00:00:00,000;1900;5;"mayo";2;"Trim. 2";14
1900-05-15 00:00:00,000;1900;5;"mayo";2;"Trim. 2";15
1900-05-16 00:00:00,000;1900;5;"mayo";2;"Trim. 2";16
1900-05-17 00:00:00,000;1900;5;"mayo";2;"Trim. 2";17
1900-05-18 00:00:00,000;1900;5;"mayo";2;"Trim. 2";18
1900-05-19 00:00:00,000;1900;5;"mayo";2;"Trim. 2";19
1900-05-20 00:00:00,000;1900;5;"mayo";2;"Trim. 2";20
1900-05-21 00:00:00,000;1900;5;"mayo";2;"Trim. 2";21
1900-05-22 00:00:00,000;1900;5;"mayo";2;"Trim. 2";22
1900-05-23 00:00:00,000;1900;5;"mayo";2;"Trim. 2";23
1900-05-24 00:00:00,000;1900;5;"mayo";2;"Trim. 2";24
1900-05-25 00:00:00,000;1900;5;"mayo";2;"Trim. 2";25
1900-05-26 00:00:00,000;1900;5;"mayo";2;"Trim. 2";26
1900-05-27 00:00:00,000;1900;5;"mayo";2;"Trim. 2";27
1900-05-28 00:00:00,000;1900;5;"mayo";2;"Trim. 2";28
1900-05-29 00:00:00,000;1900;5;"mayo";2;"Trim. 2";29
1900-05-30 00:00:00,000;1900;5;"mayo";2;"Trim. 2";30
1900-05-31 00:00:00,000;1900;5;"mayo";2;"Trim. 2";31
